Date,Open,High,Low,Close,Adj Close,Volume
2018-03-14,48.779999,49.099998,48.540001,48.700001,47.068245,134082
2018-03-15,48.700001,48.980000,47.279999,47.919998,46.314377,200518
2018-03-16,47.520000,48.599998,47.220001,48.500000,46.874947,478652
2018-03-19,48.099998,49.080002,48.080002,48.799999,47.164894,223278
2018-03-20,49.060001,50.049999,48.860001,49.820000,48.150719,221838
2018-03-21,50.000000,50.250000,49.139999,49.779999,48.112057,182101
2018-03-22,49.500000,49.799999,48.200001,48.200001,46.584999,220137
2018-03-23,48.000000,48.480000,47.340000,48.060001,46.449688,147234
2018-03-26,48.000000,48.619999,46.259998,46.259998,44.709999,168470
2018-03-27,46.299999,47.020000,44.959999,45.619999,45.619999,334331
2018-03-28,45.740002,46.500000,45.220001,46.000000,46.000000,252888
2018-03-29,46.060001,46.500000,45.400002,45.400002,45.400002,182484
2018-04-03,45.400002,46.380001,45.400002,46.000000,46.000000,220955
2018-04-04,46.099998,46.299999,44.900002,45.180000,45.180000,155672
2018-04-05,45.820000,46.439999,45.799999,45.939999,45.939999,124592
